timestamp,open,high,low,close,volume
2019-12-27 16:00:00,158.7700,159.0400,158.7600,158.9500,756446
2019-12-27 15:55:00,158.5300,158.7500,158.4300,158.7500,580904
2019-12-27 15:50:00,158.6600,158.7900,158.5200,158.5300,248694
2019-12-27 15:45:00,158.8850,158.8850,158.6400,158.6550,195946
2019-12-27 15:40:00,158.9501,158.9800,158.8800,158.8800,146349
2019-12-27 15:35:00,158.9800,159.0000,158.9550,158.9550,91908
2019-12-27 15:30:00,159.0001,159.0100,158.9300,158.9800,81840
2019-12-27 15:25:00,159.0738,159.0750,158.9600,159.0100,137101
2019-12-27 15:20:00,158.9800,159.0800,158.9700,159.0750,160753
2019-12-27 15:15:00,158.9300,158.9900,158.9100,158.9800,84459
2019-12-27 15:10:00,158.9500,158.9650,158.9100,158.9300,127975
2019-12-27 15:05:00,158.9850,159.0000,158.9400,158.9500,94929
2019-12-27 15:00:00,158.9500,158.9800,158.9400,158.9800,85497
2019-12-27 14:55:00,158.9400,158.9900,158.9300,158.9500,90493
2019-12-27 14:50:00,158.9300,158.9500,158.9000,158.9400,110864
2019-12-27 14:45:00,158.9051,158.9400,158.8800,158.9250,76288
2019-12-27 14:40:00,158.9272,158.9400,158.9050,158.9051,87465
2019-12-27 14:35:00,158.9100,158.9400,158.9100,158.9300,83636
2019-12-27 14:30:00,158.8800,158.9000,158.8700,158.9000,46916
2019-12-27 14:25:00,158.8550,158.9000,158.8500,158.8706,68368
2019-12-27 14:20:00,158.8600,158.8700,158.8100,158.8500,62650
2019-12-27 14:15:00,158.8000,158.8700,158.8000,158.8600,71217
2019-12-27 14:10:00,158.8400,158.8480,158.8050,158.8055,66262
2019-12-27 14:05:00,158.7600,158.8400,158.7500,158.8350,96596
2019-12-27 14:00:00,158.8100,158.8200,158.7500,158.7600,70914
2019-12-27 13:55:00,158.7800,158.8100,158.7400,158.8097,65203
2019-12-27 13:50:00,158.7450,158.8042,158.7400,158.7732,47946
2019-12-27 13:45:00,158.7950,158.8000,158.7400,158.7400,49244
2019-12-27 13:40:00,158.7950,158.8150,158.7700,158.7900,54271
2019-12-27 13:35:00,158.7200,158.8200,158.7099,158.8050,100623
2019-12-27 13:30:00,158.6700,158.7600,158.6600,158.7200,97677
2019-12-27 13:25:00,158.5377,158.7200,158.5377,158.6700,102203
2019-12-27 13:20:00,158.6150,158.6350,158.5316,158.5396,89912
2019-12-27 13:15:00,158.6400,158.6500,158.5500,158.6133,86850
2019-12-27 13:10:00,158.6050,158.6500,158.5900,158.6500,69110
2019-12-27 13:05:00,158.6400,158.6700,158.5900,158.5950,92904
2019-12-27 13:00:00,158.6200,158.6400,158.5950,158.6400,85450
2019-12-27 12:55:00,158.7000,158.7198,158.6101,158.6165,71431
2019-12-27 12:50:00,158.5650,158.6970,158.5600,158.6965,80623
2019-12-27 12:45:00,158.5200,158.5700,158.5020,158.5697,597934
2019-12-27 12:40:00,158.5448,158.6000,158.5200,158.5250,95793
2019-12-27 12:35:00,158.6700,158.6700,158.5400,158.5450,86829
2019-12-27 12:30:00,158.6400,158.7400,158.6400,158.6650,88881
2019-12-27 12:25:00,158.8450,158.8485,158.6400,158.6400,89930
2019-12-27 12:20:00,158.7500,158.8600,158.7500,158.8425,79820
2019-12-27 12:15:00,158.6990,158.7450,158.6910,158.7400,81346
2019-12-27 12:10:00,158.6670,158.7100,158.6400,158.6962,94858
2019-12-27 12:05:00,158.6300,158.8000,158.6300,158.6600,77502
2019-12-27 12:00:00,158.8500,158.9000,158.6200,158.6200,201007
2019-12-27 11:55:00,158.9300,158.9399,158.8483,158.8600,91180
2019-12-27 11:50:00,158.9600,158.9700,158.9200,158.9300,75806
2019-12-27 11:45:00,158.9300,159.0000,158.9200,158.9650,88409
2019-12-27 11:40:00,158.9600,158.9700,158.9100,158.9399,137620
2019-12-27 11:35:00,158.9000,158.9900,158.8970,158.9672,101845
2019-12-27 11:30:00,158.8250,158.9300,158.8201,158.8927,113327
2019-12-27 11:25:00,158.8100,158.8800,158.7900,158.8276,143730
2019-12-27 11:20:00,158.7600,158.8100,158.7500,158.8000,47118
2019-12-27 11:15:00,158.7550,158.8020,158.7200,158.7700,92837
2019-12-27 11:10:00,158.7950,158.8100,158.7550,158.7550,159158
2019-12-27 11:05:00,158.7600,158.8200,158.7500,158.7965,153762
2019-12-27 11:00:00,158.8500,158.8700,158.7600,158.7600,128359
2019-12-27 10:55:00,158.7100,158.8600,158.7098,158.8500,114323
2019-12-27 10:50:00,158.6500,158.7253,158.6400,158.7013,110477
2019-12-27 10:45:00,158.6700,158.7300,158.6000,158.6500,159219
2019-12-27 10:40:00,158.7100,158.7600,158.6540,158.6600,150256
2019-12-27 10:35:00,158.7900,158.8500,158.6760,158.7000,161195
2019-12-27 10:30:00,158.8850,158.9400,158.7500,158.7880,190656
2019-12-27 10:25:00,158.7101,158.9269,158.6450,158.8855,192824
2019-12-27 10:20:00,158.8300,158.8500,158.6500,158.7100,183018
2019-12-27 10:15:00,158.4100,158.8600,158.3500,158.8300,352261
2019-12-27 10:10:00,158.3869,158.5100,158.3700,158.4000,326683
2019-12-27 10:05:00,158.2400,158.4900,158.2200,158.3800,208333
2019-12-27 10:00:00,158.7300,158.7400,158.2400,158.2500,299429
2019-12-27 09:55:00,158.7350,158.7800,158.7100,158.7500,270449
2019-12-27 09:50:00,158.9900,158.9900,158.7205,158.7386,312563
2019-12-27 09:45:00,158.9000,159.0400,158.9000,158.9675,359393
2019-12-27 09:40:00,159.1500,159.1500,158.8692,158.8692,386015
2019-12-27 09:35:00,159.4542,159.7046,159.1541,159.1742,1115499
2019-12-26 16:00:00,158.4500,158.7400,158.4100,158.6700,845490
2019-12-26 15:55:00,158.2900,158.4800,158.2800,158.4600,325359
2019-12-26 15:50:00,158.3800,158.4000,158.2850,158.3100,159327
2019-12-26 15:45:00,158.3400,158.3700,158.3000,158.3700,149577
2019-12-26 15:40:00,158.2962,158.3500,158.2800,158.3500,95195
2019-12-26 15:35:00,158.2650,158.2950,158.2350,158.2917,125805
2019-12-26 15:30:00,158.3330,158.3400,158.2600,158.2600,125535
2019-12-26 15:25:00,158.3400,158.3450,158.3000,158.3400,117813
2019-12-26 15:20:00,158.3200,158.3480,158.3100,158.3400,70930
2019-12-26 15:15:00,158.4200,158.4200,158.2700,158.3100,91606
2019-12-26 15:10:00,158.3500,158.4350,158.3400,158.4100,81364
2019-12-26 15:05:00,158.3762,158.3900,158.3400,158.3500,82089
2019-12-26 15:00:00,158.3800,158.3900,158.3520,158.3700,81282
2019-12-26 14:55:00,158.3629,158.3800,158.3600,158.3737,61707
2019-12-26 14:50:00,158.3350,158.3870,158.3200,158.3600,81042
2019-12-26 14:45:00,158.3500,158.3500,158.3100,158.3330,111531
2019-12-26 14:40:00,158.3300,158.3500,158.2900,158.3500,62425
2019-12-26 14:35:00,158.2700,158.3250,158.2680,158.3250,63392
2019-12-26 14:30:00,158.3400,158.3400,158.2500,158.2791,88063
2019-12-26 14:25:00,158.3750,158.3900,158.3199,158.3400,72394
2019-12-26 14:20:00,158.3900,158.3900,158.3400,158.3701,61464
2019-12-26 14:15:00,158.3800,158.3950,158.3650,158.3900,85585
